token,n_families,source_families,accept_path
alternative,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
alternatives,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:alternative
attenuator,1,wikidata,atom
attenuators,1,wikidata,variant_of:attenuator
battery
batterie,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:batteries
batteries,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
biological,3,gemet|cpc_y02|wikidata,vote
biologicals,3,gemet|cpc_y02|wikidata,variant_of:biological
breaking,1,wikidata,atom
breakings,1,wikidata,variant_of:breaking
chemical,3,gemet|cpc_y02|wikidata,vote
chemicals,3,gemet|cpc_y02|wikidata,variant_of:chemical
cleanup,2,gemet|wikidata,atom
cleanups,2,gemet|wikidata,variant_of:cleanup
composting,4,gemet|wikidata|taxonomy_compass|eu_reg,atom
compostings,4,gemet|wikidata|taxonomy_compass|eu_reg,variant_of:composting
conversion,3,gemet|cpc_y02|wikidata,vote
conversions,3,gemet|cpc_y02|wikidata,variant_of:conversion
cooking,2,cpc_y02|wikidata,vote
cookings,2,cpc_y02|wikidata,variant_of:cooking
demolition,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
demolitions,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:demolition
design,4,gemet|cpc_y02|wikidata|eu_reg,vote
designs,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:design
disposal,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
disposals,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:disposal
distributed,2,cpc_y02|wikidata,vote
distributeds,2,cpc_y02|wikidata,variant_of:distributed
domestic,4,gemet|cpc_y02|wikidata|egss,vote
domestics,4,gemet|cpc_y02|wikidata|egss,variant_of:domestic
dorr,1,wikidata,atom
dorrs,1,wikidata,variant_of:dorr
ecological,4,gemet|cpc_y02|wikidata|eu_reg,vote
ecologicals,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:ecological
effect,3,gemet|cpc_y02|wikidata,vote
effects,3,gemet|cpc_y02|wikidata,variant_of:effect
electric,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
electrics,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:electric
electronic,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
electronics,3,gemet|cpc_y02|wikidata,vote
electrooxidation,1,wikidata,atom
electrooxidations,1,wikidata,variant_of:electrooxidation
feedstock,2,gemet|cpc_y02,atom
feedstocks,2,gemet|cpc_y02,variant_of:feedstock
firewood,1,wikidata,atom
firewoods,1,wikidata,variant_of:firewood
fossil,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
fossils,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:fossil
free,3,gemet|cpc_y02|wikidata,vote
frees,3,gemet|cpc_y02|wikidata,variant_of:free
fuel,5,gemet|cpc_y02|wikidata|taxonomy_compass|egss,vote
fuels,5,gemet|cpc_y02|wikidata|taxonomy_compass|egss,variant_of:fuel
fuelwood,1,wikidata,atom
fuelwoods,1,wikidata,variant_of:fuelwood
generation,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
generations,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:generation
geothermal,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
geothermals,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:geothermal
ground,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
grounds,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:ground
heat,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
heats,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:heat
human,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
humans,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:human
landfill,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
landfills,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:landfill
level,4,gemet|cpc_y02|wikidata|eu_reg,vote
levels,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:level
littering,1,wikidata,atom
litterings,1,wikidata,variant_of:littering
metal,4,gemet|cpc_y02|wikidata|egss,vote
metals,4,gemet|cpc_y02|wikidata|egss,variant_of:metal
natural,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
naturals,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:natural
offshore,3,gemet|cpc_y02|wikidata,vote
offshores,3,gemet|cpc_y02|wikidata,variant_of:offshore
paper,3,gemet|cpc_y02|wikidata,vote
papers,3,gemet|cpc_y02|wikidata,variant_of:paper
passive,3,cpc_y02|wikidata|egss,vote
passives,3,cpc_y02|wikidata|egss,variant_of:passive
plastic,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:plastics
plastics,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
power,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
powers,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:power
pressure,4,gemet|cpc_y02|wikidata|egss,vote
pressures,4,gemet|cpc_y02|wikidata|egss,variant_of:pressure
processing,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
processings,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:processing
recovery,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
recoverys,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:recovery
recycle,1,wikidata,atom
recycles,1,wikidata,variant_of:recycle
rendering,1,wikidata,atom
renderings,1,wikidata,variant_of:rendering
restoration,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
restorations,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:restoration
reuse,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
reuses,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:reuse
rubber,4,gemet|cpc_y02|wikidata|egss,vote
rubbers,4,gemet|cpc_y02|wikidata|egss,variant_of:rubber
scrap,2,gemet|wikidata,atom
scrapped,1,wikidata,atom
scrappeds,1,wikidata,variant_of:scrapped
scrapping,1,wikidata,atom
scrappings,1,wikidata,variant_of:scrapping
scraps,2,gemet|wikidata,variant_of:scrap
seaweed,2,cpc_y02|wikidata,vote
seaweeds,2,cpc_y02|wikidata,variant_of:seaweed
sewage,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
sewages,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:sewage
solid,4,gemet|cpc_y02|wikidata|eu_reg,vote
solids,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:solid
source,4,cpc_y02|wikidata|egss|eu_reg,variant_of:sources
sources,4,cpc_y02|wikidata|egss|eu_reg,vote
state,4,gemet|cpc_y02|wikidata|eu_reg,vote
supply,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
supplys,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:supply
surface,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
surfaces,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:surface
temperature,3,gemet|cpc_y02|wikidata,vote
temperatures,3,gemet|cpc_y02|wikidata,variant_of:temperature
textile,3,gemet|cpc_y02|wikidata,vote
textiles,3,gemet|cpc_y02|wikidata,variant_of:textile
thermal,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
thermals,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:thermal
treatment,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
treatments,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:treatment
