token,n_families,source_families,accept_path
ecological
agrivoltaic,1,wikidata,variant_of:agrivoltaics
agrivoltaics,1,wikidata,atom
agrophotovoltaic,1,wikidata,variant_of:agrophotovoltaics
agrophotovoltaics,1,wikidata,atom
agrosolar,1,wikidata,atom
agrosolars,1,wikidata,variant_of:agrosolar
biocombustible,1,wikidata,atom
biocombustibles,1,wikidata,variant_of:biocombustible
biodepollution,1,wikidata,atom
biodepollutions,1,wikidata,variant_of:biodepollution
biodiesel,1,wikidata,atom
biodiesels,1,wikidata,variant_of:biodiesel
bioenergy,4,gemet|wikidata|taxonomy_compass|eu_reg,atom
bioenergys,4,gemet|wikidata|taxonomy_compass|eu_reg,variant_of:bioenergy
bioethanol,1,wikidata,atom
bioethanols,1,wikidata,variant_of:bioethanol
biofuel,2,gemet|wikidata,atom
biofuels,5,cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,atom
biogas,5,gemet|wikidata|taxonomy_compass|egss|eu_reg,atom
biogasoline,1,wikidata,atom
biogasolines,1,wikidata,variant_of:biogasoline
bioheap,1,wikidata,atom
bioheaps,1,wikidata,variant_of:bioheap
biological,3,gemet|cpc_y02|wikidata,vote
biologicals,3,gemet|cpc_y02|wikidata,variant_of:biological
biomass,3,gemet|cpc_y02|wikidata,vote
biopile,1,wikidata,atom
biopiles,1,wikidata,variant_of:biopile
bokashi,1,wikidata,atom
bokashis,1,wikidata,variant_of:bokashi
composting,4,gemet|wikidata|taxonomy_compass|eu_reg,atom
compostings,4,gemet|wikidata|taxonomy_compass|eu_reg,variant_of:composting
disposal,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
disposals,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:disposal
ecological,4,gemet|cpc_y02|wikidata|eu_reg,vote
ecologicals,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:ecological
envirotech,1,wikidata,atom
envirotechs,1,wikidata,variant_of:envirotech
geothermal,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
geothermals,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:geothermal
hydroelectricity,1,wikidata,atom
hydroelectricitys,1,wikidata,variant_of:hydroelectricity
hydropower,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,atom
hydropowers,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:hydropower
mycorestoration,1,wikidata,atom
mycorestorations,1,wikidata,variant_of:mycorestoration
nexbtl,1,wikidata,atom
nexbtls,1,wikidata,variant_of:nexbtl
nuclear,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
nuclears,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:nuclear
offshorewind,1,wikidata,atom
offshorewinds,1,wikidata,variant_of:offshorewind
photovoltaic,5,cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
photovoltaics,2,cpc_y02|wikidata,vote
phytofuel,1,wikidata,atom
phytofuels,1,wikidata,variant_of:phytofuel
plogging,1,wikidata,atom
ploggings,1,wikidata,variant_of:plogging
pollastic,1,wikidata,atom
pollastics,1,wikidata,variant_of:pollastic
recycle,1,wikidata,atom
recycles,1,wikidata,variant_of:recycle
solar,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
solars,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:solar
upcycling,1,wikidata,atom
upcyclings,1,wikidata,variant_of:upcycling
upcyklace,1,wikidata,atom
upcyklaces,1,wikidata,variant_of:upcyklace
