token,n_families,source_families,accept_path
agrivoltaic,1,wikidata,variant_of:agrivoltaics
agrivoltaics,1,wikidata,atom
agrophotovoltaic,1,wikidata,variant_of:agrophotovoltaics
agrophotovoltaics,1,wikidata,atom
agrosolar,1,wikidata,atom
agrosolars,1,wikidata,variant_of:agrosolar
aircraft,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
aircrafts,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:aircraft
alternative,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
alternatives,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:alternative
attenuator,1,wikidata,atom
attenuators,1,wikidata,variant_of:attenuator
aviation,3,gemet|cpc_y02|wikidata,vote
aviations,3,gemet|cpc_y02|wikidata,variant_of:aviation
bagasse,1,wikidata,atom
bagasses,1,wikidata,variant_of:bagasse
batterie,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:batteries
batteries,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
biocombustible,1,wikidata,atom
biocombustibles,1,wikidata,variant_of:biocombustible
biodepollution,1,wikidata,atom
biodepollutions,1,wikidata,variant_of:biodepollution
biodiesel,1,wikidata,atom
biodiesels,1,wikidata,variant_of:biodiesel
bioenergy,4,gemet|wikidata|taxonomy_compass|eu_reg,atom
bioenergys,4,gemet|wikidata|taxonomy_compass|eu_reg,variant_of:bioenergy
bioethanol,1,wikidata,atom
bioethanols,1,wikidata,variant_of:bioethanol
biofuel,2,gemet|wikidata,atom
biofuels,5,cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,atom
biogas,5,gemet|wikidata|taxonomy_compass|egss|eu_reg,atom
biogasoline,1,wikidata,atom
biogasolines,1,wikidata,variant_of:biogasoline
bioheap,1,wikidata,atom
bioheaps,1,wikidata,variant_of:bioheap
biological,3,gemet|cpc_y02|wikidata,vote
biologicals,3,gemet|cpc_y02|wikidata,variant_of:biological
biomass,3,gemet|cpc_y02|wikidata,vote
biopile,1,wikidata,atom
biopiles,1,wikidata,variant_of:biopile
bokashi,1,wikidata,atom
bokashis,1,wikidata,variant_of:bokashi
breaking,1,wikidata,atom
breakings,1,wikidata,variant_of:breaking
chemical,3,gemet|cpc_y02|wikidata,vote
chemicals,3,gemet|cpc_y02|wikidata,variant_of:chemical
cleanup,2,gemet|wikidata,atom
cleanups,2,gemet|wikidata,variant_of:cleanup
composting,4,gemet|wikidata|taxonomy_compass|eu_reg,atom
compostings,4,gemet|wikidata|taxonomy_compass|eu_reg,variant_of:composting
conversion,3,gemet|cpc_y02|wikidata,vote
conversions,3,gemet|cpc_y02|wikidata,variant_of:conversion
cooking,2,cpc_y02|wikidata,vote
cookings,2,cpc_y02|wikidata,variant_of:cooking
demolition,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
demolitions,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:demolition
design,4,gemet|cpc_y02|wikidata|eu_reg,vote
designs,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:design
disposal,5,gemet|cpc_y02|wikidata|egss|eu_reg,vote
disposals,5,gemet|cpc_y02|wikidata|egss|eu_reg,variant_of:disposal
distributed,2,cpc_y02|wikidata,vote
distributeds,2,cpc_y02|wikidata,variant_of:distributed
domestic,4,gemet|cpc_y02|wikidata|egss,vote
domestics,4,gemet|cpc_y02|wikidata|egss,variant_of:domestic
dorr,1,wikidata,atom
dorrs,1,wikidata,variant_of:dorr
ecological,4,gemet|cpc_y02|wikidata|eu_reg,vote
ecologicals,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:ecological
effect,3,gemet|cpc_y02|wikidata,vote
effects,3,gemet|cpc_y02|wikidata,variant_of:effect
electric,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
electrics,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:electric
electronic,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
electronics,3,gemet|cpc_y02|wikidata,vote
electrooxidation,1,wikidata,atom
electrooxidations,1,wikidata,variant_of:electrooxidation
envirotech,1,wikidata,atom
envirotechs,1,wikidata,variant_of:envirotech
feedstock,2,gemet|cpc_y02,atom
feedstocks,2,gemet|cpc_y02,variant_of:feedstock
firewood,1,wikidata,atom
firewoods,1,wikidata,variant_of:firewood
fossil,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
fossils,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:fossil
free,3,gemet|cpc_y02|wikidata,vote
frees,3,gemet|cpc_y02|wikidata,variant_of:free
fuel,5,gemet|cpc_y02|wikidata|taxonomy_compass|egss,vote
fuels,5,gemet|cpc_y02|wikidata|taxonomy_compass|egss,variant_of:fuel
fuelwood,1,wikidata,atom
fuelwoods,1,wikidata,variant_of:fuelwood
generation,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
generations,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:generation
geothermal,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
geothermals,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:geothermal
glass,4,gemet|cpc_y02|wikidata|egss,vote
ground,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
grounds,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:ground
heat,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
heats,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:heat
high,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
highs,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:high
human,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
humans,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:human
hydroelectricity,1,wikidata,atom
hydroelectricitys,1,wikidata,variant_of:hydroelectricity
hydropower,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,atom
hydropowers,4,cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:hydropower
landfill,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
landfills,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:landfill
level,4,gemet|cpc_y02|wikidata|eu_reg,vote
levels,4,gemet|cpc_y02|wikidata|eu_reg,variant_of:level
littering,1,wikidata,atom
litterings,1,wikidata,variant_of:littering
metal,4,gemet|cpc_y02|wikidata|egss,vote
metals,4,gemet|cpc_y02|wikidata|egss,variant_of:metal
mycorestoration,1,wikidata,atom
mycorestorations,1,wikidata,variant_of:mycorestoration
natural,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,vote
naturals,5,gemet|cpc_y02|wikidata|taxonomy_compass|eu_reg,variant_of:natural
nexbtl,1,wikidata,atom
nexbtls,1,wikidata,variant_of:nexbtl
nuclear,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,vote
nuclears,6,gemet|cpc_y02|wikidata|taxonomy_compass|egss|eu_reg,variant_of:nuclear
offshore,3,gemet|cpc_y02|wikidata,vote
offshores,3,gemet|cpc_y02|wikidata,variant_of:offshore
offshorewind,1,wikidata,atom
offshorewinds,1,wikidata,variant_of:offshorewind
paper,3,gemet|cpc_y02|wikidata,vote
papers,3,gemet|cpc_y02|wikidata,variant_of:paper
passive,3,cpc_y02|wikidata|egss,vote
