seed_phrase,normalised_phrase,source_id,source_url,objective_guess,extraction_rule,excerpt
biodiversity,biodiversity,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,biodiversity
transition to a circular economy,transition to a circular economy,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,transition to a circular economy
pollution prevention and control,pollution prevention and control,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,pollution prevention and control
ecosystems,ecosystems,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,ecosystems
Circular Economy,circular economy,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,Circular Economy
ecosystem,ecosystem,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,ecosystem
energy efficiency,energy efficiency,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,energy efficiency
ecodesign,ecodesign,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,ecodesign
climate change mitigation,climate change mitigation,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,climate change mitigation
renewable energy,renewable energy,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,renewable energy
carbon capture,carbon capture,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,carbon capture
waste prevention,waste prevention,taxonomy_2020_852,https://eur-lex.europa.eu/eli/reg/2020/852/oj/eng,six environmental objectives (organising),CONCEPT_HEADING,waste prevention
Afforestation,afforestation,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,1.1 Afforestation
"Rehabilitation and restoration of forests, including refor estation and",rehabilitation and restoration of forests including refor estation and,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,"1.2 Rehabilitation and restoration of forests, including refor estation and"
Forest management,forest management,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,1.3 Forest management
Conservation forestry,conservation forestry,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,1.4 Conservation forestry
Restoration of wetlands,restoration of wetlands,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,2.1 Restoration of wetlands
Manufacture of renewable energy technologies,manufacture of renewable energy technologies,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,3.1 Manufacture of renewable energy technologies
Manufacture of equipment for the production and use of hyd rogen,manufacture of equipment for the production and use of hyd rogen,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,3.2 Manufacture of equipment for the production and use of hyd rogen
Manufacture of low carbon technologies for transport,manufacture of low carbon technologies for transport,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,3.3 Manufacture of low carbon technologies for transport
Manufacture of batteries,manufacture of batteries,climate_da_2021_2139_20260101,https://eur-lex.europa.eu/eli/reg_del/2021/2139/2026-01-01/eng,1 Climate change mitigation | 2 Climate change adaptation,ANNEX_ACTIVITY,3.4 Manufacture of batteries
