geo_code,country_eurostat,year,population
AM,Armenia,2024,2991201
AT,Austria,2024,9158750
AZ,Azerbaijan,2024,10180770
BE,Belgium,2024,11817096
BG,Bulgaria,2024,6445481
CH,Switzerland,2024,8962258
CY,Cyprus,2024,966365
CZ,Czechia,2024,10900555
DE,Germany,2024,83456045
DE_TOT,Germany including former GDR,2024,83456045
DK,Denmark,2024,5961249
EA20,Euro area – 20 countries (2023-2025),2024,350174019
EA21,Euro area – 21 countries (from 2026),2024,357367799
EE,Estonia,2024,1374687
EFTA,European Free Trade Association,2024,14936057
EL,Greece,2024,10375764
ES,Spain,2024,48619695
EU27_2020,European Union - 27 countries (from 2020),2024,449306184
FI,Finland,2024,5603851
FR,France,2024,68669303
GE,Georgia,2024,3694608
HR,Croatia,2024,3861967
HU,Hungary,2024,9584627
IE,Ireland,2024,5351681
IS,Iceland,2024,383567
IT,Italy,2024,58971230
LI,Liechtenstein,2024,40015
LT,Lithuania,2024,2885891
LU,Luxembourg,2024,672050
LV,Latvia,2024,1878575
MC,Monaco,2024,38367
MD,Moldova,2024,2423287
ME,Montenegro,2024,623680
MK,North Macedonia,2024,1826247
MT,Malta,2024,563443
NL,Netherlands,2024,17942942
NO,Norway,2024,5550203
PL,Poland,2024,36620970
PT,Portugal,2024,10639726
RO,Romania,2024,19067576
RS,Serbia,2024,6605168
SE,Sweden,2024,10551707
SI,Slovenia,2024,2123949
SK,Slovakia,2024,5424687
TR,Türkiye,2024,85372377
