source_id,family,title,license,url,final_url,http_status,content_type,sha256,raw_path,bytes,fetched_at_utc,error
gemet_skos,gemet,GEMET General Multilingual Environmental Thesaurus (full SKOS),CC BY 4.0,https://www.eionet.europa.eu/gemet/exports/latest/gemet.rdf.gz,https://www.eionet.europa.eu/gemet/exports/latest/gemet.rdf.gz,200,application/octet-stream,96002bb7cd1f89bccb05ee174fb834a04dd7342bdd1428f32105cd47fd6b73b6,data/sources/lexicon_raw/gemet.rdf.gz,7423725,2026-08-15T17:46:57Z,
cpc_y02a,cpc_y02,CPC Y02A climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02A.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02A.html,200,text/html,74449f647864b55b3b67e4bbd63214bb97536817391dafa6ca16e4ae87ddc181,data/sources/lexicon_raw/cpc-Y02A.html,77091,2026-08-15T17:46:57Z,
cpc_y02b,cpc_y02,CPC Y02B climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02B.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02B.html,200,text/html,d258887d97805b27f3ef4844dd67116e31a4834a8a595ac1dc3622860da851cc,data/sources/lexicon_raw/cpc-Y02B.html,56539,2026-08-15T17:46:57Z,
cpc_y02c,cpc_y02,CPC Y02C climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02C.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02C.html,200,text/html,7601d1c20e2b4ac802733341eac305b8391fc470c5adff3c8c50202c07e10b7b,data/sources/lexicon_raw/cpc-Y02C.html,37666,2026-08-15T17:46:57Z,
cpc_y02d,cpc_y02,CPC Y02D climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02D.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02D.html,200,text/html,4e06a16a67b2999eb827cd79130b114dd1d01ff0e765a86352a478bb56825120,data/sources/lexicon_raw/cpc-Y02D.html,38084,2026-08-15T17:46:57Z,
cpc_y02e,cpc_y02,CPC Y02E climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02E.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02E.html,200,text/html,981722d9bd4b7cb3d609abae9d5d04728924a5e0b9e47020bac8582610cdf11d,data/sources/lexicon_raw/cpc-Y02E.html,67766,2026-08-15T17:46:57Z,
cpc_y02p,cpc_y02,CPC Y02P climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02P.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02P.html,200,text/html,71ab56991c2a00a266238e3b2b6429f4fd12f358a76590e73d46b14808b6da02,data/sources/lexicon_raw/cpc-Y02P.html,81342,2026-08-15T17:46:57Z,
cpc_y02t,cpc_y02,CPC Y02T climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02T.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02T.html,200,text/html,743b911cdfaef6bef4b7c994c120c249fc75681856085a6f2b6aff7ce5c8b55f,data/sources/lexicon_raw/cpc-Y02T.html,57616,2026-08-15T17:46:57Z,
cpc_y02w,cpc_y02,CPC Y02W climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02W.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y02W.html,200,text/html,e45cb74ff5bef93104291ffb1ba2cfd0bb84712e8f54ef3d674db6174dfb5009,data/sources/lexicon_raw/cpc-Y02W.html,50274,2026-08-15T17:46:57Z,
cpc_y04s,cpc_y02,CPC Y04S climate-change-mitigation scheme,Public (USPTO/EPO CPC),https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y04S.html,https://www.uspto.gov/web/patents/classification/cpc/html/cpc-Y04S.html,200,text/html,e4a3a04f6888b5674cfc7a0d828b5ff669b626aeb96688f92129eb78eed0c9af,data/sources/lexicon_raw/cpc-Y04S.html,62108,2026-08-15T17:46:57Z,
wikidata_green_tech,wikidata,Wikidata green-technology subclasses (pinned SPARQL),CC0,https://query.wikidata.org/sparql?query=%23%0A%23+Pinned+Wikidata+SPARQL+query+for+the+green-tech+anchor+lexicon+%28family%3A+wikidata%29.%0A%23+Returns+English+labels+and+aliases+of+items+that+are+%28transitive%29+subclasses+of%0A%23+a+small+set+of+green-technology+root+classes.%0A%23%0A%23+Root+classes+%28QIDs+verified+against+rdfs%3Alabel+-+see+registry%29%3A%0A%23+++wd%3AQ12705++++renewable+energy%0A%23+++wd%3AQ1962383++sustainable+energy%0A%23+++wd%3AQ743030+++environmental+technology%0A%23+++wd%3AQ1099456++clean+technology%0A%23+++wd%3AQ132580+++recycling%0A%23+++wd%3AQ180388+++waste+management%0A%23%0A%23+Bounded+to+the+subclass+tree+%28P279%2A%29+only.+The+instance+hop+%28P31%29+was+removed%0A%23+because+it+pulls+thousands+of+concrete+facilities+and+times+out+the+endpoint%3B%0A%23+technology+%2Aconcepts%2A+%28e.g.+agrivoltaics%2C+a+subclass+of+photovoltaics%29+are+all%0A%23+reachable+via+P279%2A+and+that+is+what+the+anchor+lexicon+needs.%0A%23%0A%23+Every+returned+item+is%2C+by+construction%2C+a+subclass+of+a+green-tech+root%2C+so+a%0A%23+single-token+item+label%2Falias+is+a+green+concept+by+ontology+%28this+feeds+the%0A%23+ontology-grounded+acceptance+path+in+build_green_lexicon.py%29.%0A%23%0ASELECT+DISTINCT+%3Fitem+%3FitemLabel+%3Falias+WHERE+%7B%0A++VALUES+%3Froot+%7B%0A++++wd%3AQ12705+wd%3AQ1962383+wd%3AQ743030+wd%3AQ1099456+wd%3AQ132580+wd%3AQ180388%0A++%7D%0A++%3Fitem+wdt%3AP279%2A+%3Froot+.%0A++OPTIONAL+%7B+%3Fitem+skos%3AaltLabel+%3Falias+.+FILTER%28LANG%28%3Falias%29+%3D+%22en%22%29+%7D%0A++SERVICE+wikibase%3Alabel+%7B+bd%3AserviceParam+wikibase%3Alanguage+%22en%22.+%7D%0A%7D%0A&format=json,https://query.wikidata.org/sparql?query=%23%0A%23+Pinned+Wikidata+SPARQL+query+for+the+green-tech+anchor+lexicon+%28family%3A+wikidata%29.%0A%23+Returns+English+labels+and+aliases+of+items+that+are+%28transitive%29+subclasses+of%0A%23+a+small+set+of+green-technology+root+classes.%0A%23%0A%23+Root+classes+%28QIDs+verified+against+rdfs%3Alabel+-+see+registry%29%3A%0A%23+++wd%3AQ12705++++renewable+energy%0A%23+++wd%3AQ1962383++sustainable+energy%0A%23+++wd%3AQ743030+++environmental+technology%0A%23+++wd%3AQ1099456++clean+technology%0A%23+++wd%3AQ132580+++recycling%0A%23+++wd%3AQ180388+++waste+management%0A%23%0A%23+Bounded+to+the+subclass+tree+%28P279%2A%29+only.+The+instance+hop+%28P31%29+was+removed%0A%23+because+it+pulls+thousands+of+concrete+facilities+and+times+out+the+endpoint%3B%0A%23+technology+%2Aconcepts%2A+%28e.g.+agrivoltaics%2C+a+subclass+of+photovoltaics%29+are+all%0A%23+reachable+via+P279%2A+and+that+is+what+the+anchor+lexicon+needs.%0A%23%0A%23+Every+returned+item+is%2C+by+construction%2C+a+subclass+of+a+green-tech+root%2C+so+a%0A%23+single-token+item+label%2Falias+is+a+green+concept+by+ontology+%28this+feeds+the%0A%23+ontology-grounded+acceptance+path+in+build_green_lexicon.py%29.%0A%23%0ASELECT+DISTINCT+%3Fitem+%3FitemLabel+%3Falias+WHERE+%7B%0A++VALUES+%3Froot+%7B%0A++++wd%3AQ12705+wd%3AQ1962383+wd%3AQ743030+wd%3AQ1099456+wd%3AQ132580+wd%3AQ180388%0A++%7D%0A++%3Fitem+wdt%3AP279%2A+%3Froot+.%0A++OPTIONAL+%7B+%3Fitem+skos%3AaltLabel+%3Falias+.+FILTER%28LANG%28%3Falias%29+%3D+%22en%22%29+%7D%0A++SERVICE+wikibase%3Alabel+%7B+bd%3AserviceParam+wikibase%3Alanguage+%22en%22.+%7D%0A%7D%0A&format=json,200,application/sparql-results+json,bda7dbc6524d59cbce1e4f0780b9c2e60b4852972f3e0b3ce9015d53a8563869,data/sources/lexicon_raw/wikidata_green_tech.json,116391,2026-08-15T17:46:57Z,
taxonomy_compass_activities,taxonomy_compass,"EU Taxonomy Compass activity list (name, sector, description)","(c) European Union, reuse under Decision 2011/833/EU (CC BY 4.0)",https://webgate.ec.europa.eu/sft/api/v1/en/activities,https://webgate.ec.europa.eu/sft/api/v1/en/activities,200,application/json,90baa0d0cbe9fffb98b7f1ff899756fa651e2fa5b80bfe5351d48830c75d1c2e,data/sources/lexicon_raw/taxonomy_compass_activities.json,212004,2026-08-15T17:46:57Z,
