iso2,country,year,population
AL,Albania,2025,2349580
AD,Andorra,2025,82904
AT,Austria,2025,9208163
BY,Belarus,2025,9085991
BE,Belgium,2025,11941781
BA,Bosnia and Herzegovina,2025,3140095
BG,Bulgaria,2025,6433302
HR,Croatia,2025,3876200
CY,Cyprus,2025,1370754
CZ,Czech Republic,2025,10886878
DK,Denmark,2025,6009169
EE,Estonia,2025,1366475
FI,Finland,2025,5646436
FR,France,2025,68720337
DE,Germany,2025,83491249
GI,Gibraltar,2025,40126
GR,Greece,2025,10413962
HU,Hungary,2025,9514251
IS,Iceland,2025,392404
IE,Ireland,2025,5484367
IT,Italy,2025,58915656
XK,Kosovo,2025,1576876
LV,Latvia,2025,1847785
LI,Liechtenstein,2025,41024
LT,Lithuania,2025,2888774
LU,Luxembourg,2025,686970
MT,Malta,2025,579704
MD,Moldova,2025,2360527
MC,Monaco,2025,38341
ME,Montenegro,2025,623129
NL,Netherlands,2025,18087633
MK,North Macedonia,2025,1820909
NO,Norway,2025,5610870
PL,Poland,2025,36435861
PT,Portugal,2025,10804871
RO,Romania,2025,19020271
RU,Russia,2025,143513328
SM,San Marino,2025,34109
RS,Serbia,2025,6549143
SK,Slovakia,2025,5413813
SI,Slovenia,2025,2130986
ES,Spain,2025,49355143
SE,Sweden,2025,10596620
CH,Switzerland,2025,9092436
UA,Ukraine,2025,38980376
GB,United Kingdom,2025,69487000
